NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Ariel Holstein",Pittsburgh Fencers Club,18,8,69.2%,13,5,72.2%,5,3,62.5%
"
                    Youshan Shu",Cavalier Fencing Club,685,577,54.3%,521,413,55.8%,164,164,50.0%
"
                    Christina Ferrari",Duke University Fencing NCAA / Tim Morehouse Fencing Club (Port Chester),245,78,75.9%,163,46,78.0%,82,32,71.9%
"
                    Quentin Villareal",Houston Sword Sports,95,81,54.0%,75,57,56.8%,20,24,45.5%
"
                    Guillaume Chabenat",Fencing Academy Of Denver,132,87,60.3%,105,61,63.3%,27,26,50.9%
"
                    Andrew Liu",Maximum Fencing Club,319,218,59.4%,225,157,58.9%,94,61,60.6%
"
                    Arjun Ravi",Olympic Fencers Club,57,35,62.0%,42,23,64.6%,15,12,55.6%
"
                    Eva Bassik",Columbus Fencing And Fitness LLC,285,301,48.6%,222,230,49.1%,63,71,47.0%
"
                    Manroop Kaur",Marx Fencing Academy,163,171,48.8%,131,126,51.0%,32,45,41.6%
"
                    Gabrielle Lendis",Battle Born Fencing Club,119,135,46.9%,93,103,47.4%,26,32,44.8%
"
                    Pranav Srambikkal",Olympic Fencers Club,30,35,46.2%,25,26,49.0%,5,9,35.7%
"
                    Ian Thompson",Rhode Island Fencing Academy And Club,66,96,40.7%,51,74,40.8%,15,22,40.5%
"
                    Philip Hedges",The Fencing Center,80,10,88.9%,50,4,92.6%,30,6,83.3%
"
                    Maksymilian Skarbonkiewicz",Oregon Fencing Alliance,310,168,64.9%,227,114,66.6%,83,54,60.6%
"
                    Robert Stewart",Marx Fencing Academy / Seacoast Fencing Club,117,95,55.2%,83,68,55.0%,34,27,55.7%
"
                    Henry Hendershot",Columbus Fencing And Fitness LLC,39,35,52.7%,29,28,50.9%,10,7,58.8%
"
                    Elliot Siegel",Candlewood Fencing Center,122,116,51.3%,92,91,50.3%,30,25,54.5%
"
                    Nico Gleba",Brooklyn Bridge Fencing Club,93,94,49.7%,69,70,49.6%,24,24,50.0%
"
                    Luke Schimel",Hills Fencing Institute (H3),48,109,30.6%,40,87,31.5%,8,22,26.7%
"
                    YuHan ChenHe",RedStar Fencing Club Chicago,58,39,59.8%,43,27,61.4%,15,12,55.6%
"
                    Rachel Buhay",Fencing Academy Of Denver,369,259,58.8%,284,185,60.6%,85,74,53.5%
"
                    JiaQi Wang",Platinum Fencing Academy,519,325,61.5%,370,227,62.0%,149,98,60.3%
"
                    Matt Maychrowitz",East Bay Fencers Gym,190,159,54.4%,149,113,56.9%,41,46,47.1%
"
                    Sophia Habek",East Bay Fencers Gym / East Bay Fencers Gym,195,54,78.3%,129,34,79.1%,66,20,76.7%
"
                    Kevin Yan",Southern California Fencing Academy (SOCALFA) / Southern California Fencing Academy (SOCALFA),282,238,54.2%,220,172,56.1%,62,66,48.4%
"
                    Robert Charlton",Five Points Fencing Academy / Wellesley College Fencing NCAA,-,-,-,-,-,-,-,-,-
"
                    Vida Connolly",Advance Fencing And Fitness Academy,63,68,48.1%,49,55,47.1%,14,13,51.9%
"
                    Erika Gumagay",Penta Olympic Fencing Club,474,348,57.7%,361,250,59.1%,113,98,53.6%
"
                    Leah Park",Fencing Center Of Chicago,323,424,43.2%,252,322,43.9%,71,102,41.0%
"
                    Selina Huang",Texas Fencing Academy,33,71,31.7%,27,55,32.9%,6,16,27.3%
"
                    Amari Pantaleon-Mazola",Nellya Fencers,362,206,63.7%,261,141,64.9%,101,65,60.8%
"
                    Kyle Yamasaki",East Bay Fencers Gym / San Luis Highlanders Fencing Club,204,64,76.1%,141,38,78.8%,63,26,70.8%
"
                    Joshua Lim",RedStar Fencing Club Chicago,112,52,68.3%,73,37,66.4%,39,15,72.2%
"
                    Grace Shim",Gutkovskiy Fencing Academy,737,477,60.7%,540,325,62.4%,197,152,56.4%
"
                    Brian Gross",Denver Fencing Center,11,5,68.8%,4,4,50.0%,7,1,87.5%
"
                    Isabelle Neisingh",Encinitas Fencing Academy / Team Touche Fencing Center,133,136,49.4%,107,100,51.7%,26,36,41.9%
"
                    Thomas Mahnken","Fencing Sports Academy, Inc. / RedStar Fencing Club Chicago",184,280,39.7%,154,213,42.0%,30,67,30.9%
"
                    Yasser Mahmoud",Boston Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Henri Tannas",Globus Fencing Academy,12,27,30.8%,8,22,26.7%,4,5,44.4%
"
                    Daniel Ge",Star Fencing Academy,112,123,47.7%,87,92,48.6%,25,31,44.6%
"
                    Dexter Wilde",RedStar Fencing Club Chicago,8,1,88.9%,5,-,100.0%,3,1,75.0%
"
                    Sebastian Ke",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),106,177,37.5%,82,140,36.9%,24,37,39.3%
"
                    Austin Zhou",South Denver Fencing Academy,113,126,47.3%,88,96,47.8%,25,30,45.5%
"
                    Lola Brown",Space City Fencing Academy,566,272,67.5%,401,179,69.1%,165,93,64.0%
"
                    Yelisey Kogan",Advance Fencing And Fitness Academy,155,154,50.2%,118,112,51.3%,37,42,46.8%
"
                    BEn Wood",Sheridan Fencing Academy / The Fencers Academy,6,7,46.2%,5,5,50.0%,1,2,33.3%
"
                    Mateo Weiss",Denver Fencing Center,78,95,45.1%,60,78,43.5%,18,17,51.4%
"
                    Rayaana Grulich",Oregon Fencing Alliance,260,267,49.3%,202,197,50.6%,58,70,45.3%
"
                    Ilana Cai",5T Fencers Club,209,107,66.1%,146,72,67.0%,63,35,64.3%
"
                    David Yang",Star Fencing Academy,21,35,37.5%,17,26,39.5%,4,9,30.8%
"
                    Jack Leith",Phoenix Fencing Academy,199,367,35.2%,167,297,36.0%,32,70,31.4%
"
                    Benjamin O'Donnell",Windy City Fencing-Chicago,318,272,53.9%,244,197,55.3%,74,75,49.7%
"
                    Eli Delgado",Battle Born Fencing Club,19,13,59.4%,14,9,60.9%,5,4,55.6%
"
                    Adam Brewer",Boston Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Brayden Wang",Birmingham Fencing Club,284,380,42.8%,219,294,42.7%,65,86,43.0%
"
                    Blake Danis",Front Range Fencing Club,83,38,68.6%,60,24,71.4%,23,14,62.2%
"
                    Markus Suorsa",The Fencing Center / The Fencing Center,180,113,61.4%,133,77,63.3%,47,36,56.6%
"
                    Ethan Baker",Golubitsky Fencing Center,47,58,44.8%,36,45,44.4%,11,13,45.8%
"
                    Audrey Chang",Fencing Academy Of Denver,209,224,48.3%,171,169,50.3%,38,55,40.9%
"
                    Yi Ling Sha",Moe Fencing Club LLC / Gold Fencing Club,778,568,57.8%,592,400,59.7%,186,168,52.5%
"
                    Matea Chiou-Williams",East Bay Fencers Gym,124,125,49.8%,92,93,49.7%,32,32,50.0%
"
                    Clara Richard",Moe Fencing Club LLC,69,102,40.4%,57,80,41.6%,12,22,35.3%
"
                    Claudine Barjak Cardenas",Olympian Fencing Club,4,4,50.0%,3,3,50.0%,1,1,50.0%
"
                    Jaisimh Ramanan",Cardinal Fencing Club,455,365,55.5%,358,268,57.2%,97,97,50.0%
"
                    Nicholas Notopradono",Advance Fencing And Fitness Academy / West Coast Fencing Academy,220,256,46.2%,170,193,46.8%,50,63,44.2%
"
                    smira bavipati",Bay Area Fencing Club,66,116,36.3%,55,90,37.9%,11,26,29.7%
"
                    Teddy Kim",Battle Born Fencing Club,169,163,50.9%,134,122,52.3%,35,41,46.1%
"
                    Ethan McDonald",San Diego Fencing Center,119,191,38.4%,93,150,38.3%,26,41,38.8%
"
                    Layla Roy",Gutkovskiy Fencing Academy,562,399,58.5%,428,280,60.5%,134,119,53.0%
"
                    ROMAN SOBESHKEVYCH",Fencing Center Of Chicago,248,141,63.8%,179,96,65.1%,69,45,60.5%
"
                    Jasmine Wang",Star Fencing Academy,595,499,54.4%,465,354,56.8%,130,145,47.3%
"
                    Brian McDermott",Rhode Island Fencing Academy And Club,315,239,56.9%,242,175,58.0%,73,64,53.3%
"
                    Marcus Au",The Fencing Center,181,126,59.0%,136,90,60.2%,45,36,55.6%
"
                    Siarhei Byk",Star Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Ryan Jeyoon",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),901,376,70.6%,612,249,71.1%,289,127,69.5%
"
                    Maciek Zmyslowski",Illinois Fencing Academy,146,21,87.4%,96,11,89.7%,50,10,83.3%
"
                    Joseph Spina",Fencing Center Of Chicago / Ataba Fencing Club,640,444,59.0%,464,326,58.7%,176,118,59.9%
"
                    David Liu",Southern California Fencing Academy (SOCALFA),177,96,64.8%,124,66,65.3%,53,30,63.9%
"
                    Celine de la Foscade-Condon",Moe Fencing Club LLC,160,89,64.3%,115,60,65.7%,45,29,60.8%
"
                    Neiyam Sadhu",Platinum Fencing Academy,133,144,48.0%,103,107,49.0%,30,37,44.8%
"
                    David Strong",Northwest Fencing Center,83,89,48.3%,58,68,46.0%,25,21,54.3%
"
                    Brennan Rieck",Omaha Fencing Club,13,27,32.5%,12,21,36.4%,1,6,14.3%
"
                    Ryan Hong",Olympic Fencers Club,83,80,50.9%,60,61,49.6%,23,19,54.8%
"
                    Christopher Stone",Richmond Fencing Club / Stevens Institute of  Technology (University) NCAA,35,59,37.2%,30,47,39.0%,5,12,29.4%
"
                    Amanda Li",Advance Fencing And Fitness Academy,497,229,68.5%,388,142,73.2%,109,87,55.6%
"
                    Mariia Yurkova",Gutkovskiy Fencing Academy,543,309,63.7%,397,206,65.8%,146,103,58.6%
"
                    Signe Golash",Brown University NCAA / Rochester Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Michael Perka",The Fencing Center,259,127,67.1%,183,84,68.5%,76,43,63.9%
"
                    Abigail Tismensky",Windy City Fencing-Chicago / Windy City Fencing-Chicago,136,121,52.9%,102,89,53.4%,34,32,51.5%
"
                    Todd Bukowski",Nazlymov Fencing Foundation,127,84,60.2%,97,58,62.6%,30,26,53.6%
"
                    Nicolas Binet",Pittsburgh Fencers Club,36,30,54.5%,27,22,55.1%,9,8,52.9%
"
                    Michael Stafford",Beverly Hills Fencers' Club,23,29,44.2%,17,22,43.6%,6,7,46.2%
"
                    Andrei Nazlymov",Nazlymov Fencing Foundation,477,267,64.1%,349,184,65.5%,128,83,60.7%
"
                    Jayden Zhang",Bay Area Fencing Club,95,146,39.4%,73,115,38.8%,22,31,41.5%
"
                    Zachory Powell",Manchen Academy Of Fencing,47,29,61.8%,34,21,61.8%,13,8,61.9%
"
                    Joseph Isaac",New York Athletic Club / North Shore Fencers Club,121,51,70.3%,88,36,71.0%,33,15,68.8%
"
                    Martin Rodriguez Jr",Renaissance Fencing Club / Houston Sword Sports,17,22,43.6%,15,16,48.4%,2,6,25.0%
"
                    Kenneth Williams",Birmingham Fencing Club,67,37,64.4%,46,24,65.7%,21,13,61.8%
"
                    Alfred Franz",Heartland Fencing Academy,8,42,16.0%,8,33,19.5%,-,9,0.0%
"
                    Siobhan Sullivan",Oregon Fencing Alliance,446,114,79.6%,296,64,82.2%,150,50,75.0%
"
                    Luke Posson",San Diego Fencing Center,38,73,34.2%,28,58,32.6%,10,15,40.0%
"
                    Lauren Zhuang",Maximum Fencing Club,84,89,48.6%,59,69,46.1%,25,20,55.6%
"
                    George Kaouris","Stamford Fencing Center, LLC / Sheridan Fencing Academy",80,67,54.4%,65,47,58.0%,15,20,42.9%
"
                    Meredith Powers",Tidewater Fencing Club,286,168,63.0%,199,121,62.2%,87,47,64.9%
"
                    Benjamin Papsun",Boston Fencing Club / Rogue Fencing Academy,28,54,34.1%,20,42,32.3%,8,12,40.0%
"
                    Daniel Su",Birmingham Fencing Club,29,67,30.2%,25,53,32.1%,4,14,22.2%
"
                    Rick Zeng",5T Fencers Club,468,377,55.4%,351,268,56.7%,117,109,51.8%
"
                    Jacqueline Dubrovich ",New Jersey Fencing Alliance,112,13,89.6%,63,3,95.5%,49,10,83.1%
"
                    Gavin Zhou",Kaizen Academy LLC,139,151,47.9%,110,113,49.3%,29,38,43.3%
"
                    Max Scherer",Fencing Academy Of Denver,278,280,49.8%,219,212,50.8%,59,68,46.5%
"
                    Keith Kessens",Kansas City Fencing Center,8,35,18.6%,7,31,18.4%,1,4,20.0%
"
                    Krish Mehta",Bergen Fencing Club,110,115,48.9%,91,83,52.3%,19,32,37.3%
"
                    Jacob Duell",Richmond Fencing Club / Richmond Fencing Club,66,20,76.7%,46,11,80.7%,20,9,69.0%
"
                    Jacob Chreky",Seacoast Fencing Club,96,64,60.0%,75,44,63.0%,21,20,51.2%
"
                    Leith Askins Negley",Olympian Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Johan Philippine",East Bay Fencers Gym,23,20,53.5%,20,14,58.8%,3,6,33.3%
"
                    Patrick Cha",Elite Fencing Academy (GA) / Elite Fencing Academy (VA),144,103,58.3%,110,71,60.8%,34,32,51.5%
"
                    Samuel Lillard",Columbus Fencing And Fitness LLC,54,46,54.0%,44,32,57.9%,10,14,41.7%
"
                    Joshua Cortright",Bay Area Fencing Club,541,471,53.5%,410,346,54.2%,131,125,51.2%
"
                    Kayla Turnof",Brandeis University NCAA / International Fencing Club,224,215,51.0%,175,167,51.2%,49,48,50.5%
"
                    Zoie Wang",Star Fencing Academy / Bay Area Fencing Club,405,231,63.7%,298,154,65.9%,107,77,58.2%
"
                    Kyle Alave",Cobra Fencing Club LLC,386,258,59.9%,287,180,61.5%,99,78,55.9%
"
                    Derek Kim",Golubitsky Fencing Center,302,328,47.9%,245,248,49.7%,57,80,41.6%
"
                    Zachary Morey",Tidewater Fencing Club,134,83,61.8%,102,57,64.2%,32,26,55.2%
"
                    Olivia Hau",Maximum Fencing Club,193,254,43.2%,153,198,43.6%,40,56,41.7%
"
                    Chris Sauthoff",Denver Fencing Center,34,35,49.3%,27,24,52.9%,7,11,38.9%
"
                    Nirali Igoe",Penta Olympic Fencing Club / Pennsylvania State University NCAA,111,105,51.4%,88,81,52.1%,23,24,48.9%
"
                    Kaveh Shafaie",Freehold Fencing Academy,348,118,74.7%,241,73,76.8%,107,45,70.4%
"
                    Sophia Shen",Star Fencing Academy,578,252,69.6%,410,158,72.2%,168,94,64.1%
"
                    Shwan Lee",Elite Fencing Academy (VA) / Elite Fencing Academy (GA),462,263,63.7%,343,179,65.7%,119,84,58.6%
"
                    Rainer Dragon",Fencing Academy Of Westchester,209,138,60.2%,163,104,61.0%,46,34,57.5%
"
                    Harrison Saylor",Austin Fencers Club,40,40,50.0%,30,31,49.2%,10,9,52.6%
"
                    Bryce Rittershaus",Marx Fencing Academy,74,173,30.0%,58,139,29.4%,16,34,32.0%
"
                    Jonathan Wu",Cavalier Fencing Club,979,667,59.5%,694,471,59.6%,285,196,59.3%
"
                    VIVIAN Young",Olympian Fencing Club,344,185,65.0%,258,119,68.4%,86,66,56.6%
"
                    Branford Higgins",San Diego Fencing Center,311,187,62.4%,225,127,63.9%,86,60,58.9%
"
                    Dalton sheng",AIC  Fencing Club,540,260,67.5%,388,169,69.7%,152,91,62.6%
"
                    Eiry Du",Cavalier Fencing Club,44,16,73.3%,28,11,71.8%,16,5,76.2%
"
                    Jane Carter",Marx Fencing Academy / Tanner City Fencers Club,205,33,86.1%,135,18,88.2%,70,15,82.4%
"
                    Stylianos Tasikas",Rochester Fencing Club,246,225,52.2%,198,169,54.0%,48,56,46.2%
"
                    Torrey Zaches",East Bay Fencers Gym,51,26,66.2%,43,16,72.9%,8,10,44.4%
"
                    David Rockey",Rochester Fencing Club,-,6,0.0%,-,5,0.0%,-,1,0.0%
"
                    Mahmoud Elshal",Platinum Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Ophelia Tong",Northwestern University NCAA / Golubitsky Fencing Center,190,150,55.9%,147,113,56.5%,43,37,53.8%
"
                    Amber Peng",Golubitsky Fencing Center,533,351,60.3%,398,246,61.8%,135,105,56.2%
"
                    Emma Zmurk",San Diego Fencing Center,43,19,69.4%,31,13,70.5%,12,6,66.7%
"
                    Audrey Baker",US Air Force Academy NCAA University / Bergen Fencing Club,357,350,50.5%,298,261,53.3%,59,89,39.9%
"
                    Christophe Pellissier",The Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Madeline Engelman-Sanz",Bergen Fencing Club,508,186,73.2%,356,110,76.4%,152,76,66.7%
"
                    Christopher Leclercq",Marx Fencing Academy,6,2,75.0%,4,1,80.0%,2,1,66.7%
"
                    Samantha Shortall",Star Fencing Academy,8,11,42.1%,8,8,50.0%,-,3,0.0%
"
                    Samuel Sedgley",Chesapeake Fencing Club,35,61,36.5%,28,48,36.8%,7,13,35.0%
"
                    Sophia Loconto",International Fencing Club / Moe Fencing Club LLC,23,24,48.9%,19,18,51.4%,4,6,40.0%
"
                    Nikhil Hotha",Nazlymov Fencing Foundation,201,213,48.6%,153,164,48.3%,48,49,49.5%
"
                    Cougar Seale",Texas Fencing Academy,60,65,48.0%,46,51,47.4%,14,14,50.0%
"
                    Marc Shull",Windy City Fencing-Chicago / Northern Colorado Fencers,87,90,49.2%,69,64,51.9%,18,26,40.9%
"
                    Joshua Shin",Rhode Island Fencing Academy And Club,293,174,62.7%,210,115,64.6%,83,59,58.5%
"
                    Lucas Pivovarov",East Bay Fencers Gym,53,33,61.6%,43,22,66.2%,10,11,47.6%
"
                    Doris Willette ",Massialas Foundation (M Team),-,-,-,-,-,-,-,-,-
"
                    Kaleb Myers",Alle Fencing Club / Columbus Fencing And Fitness LLC,68,61,52.7%,55,46,54.5%,13,15,46.4%
"
                    Jeff Altman",Rocky Mountain Fencing Academy / Denver Fencing Center,206,114,64.4%,154,73,67.8%,52,41,55.9%
"
                    Christian Sen",Bergen Fencing Club,94,150,38.5%,78,115,40.4%,16,35,31.4%
"
                    Gabrielle Levy",RedStar Fencing Club Chicago,51,101,33.6%,45,78,36.6%,6,23,20.7%
"
                    Jonathan Seidel",Manchen Academy Of Fencing,81,55,59.6%,63,38,62.4%,18,17,51.4%
"
                    Obadiah Gremillion",Southern California Fencing Academy (SOCALFA),222,291,43.3%,173,222,43.8%,49,69,41.5%
"
                    Lee Zhong",North Shore Fencers Club,17,33,34.0%,15,26,36.6%,2,7,22.2%
"
                    Julian Knodt",Massialas Foundation (M Team),46,14,76.7%,33,7,82.5%,13,7,65.0%
"
                    Alexander Kercher",Texas Fencing Academy,285,259,52.4%,216,191,53.1%,69,68,50.4%
"
                    Michael Kucia",Olympic Fencers Club,36,16,69.2%,27,10,73.0%,9,6,60.0%
"
                    Kai Johnson",Phoenix Fencing Academy,74,182,28.9%,63,149,29.7%,11,33,25.0%
"
                    Anderson Lee",Advance Fencing And Fitness Academy,122,180,40.4%,103,140,42.4%,19,40,32.2%
"
                    Jayden Lee",South Denver Fencing Academy,373,235,61.3%,266,170,61.0%,107,65,62.2%
"
                    Jacquie Parker",Fortune Fencing / Kaizen Academy LLC,35,88,28.5%,26,68,27.7%,9,20,31.0%
"
                    Noah Gardos",Drew University NCAA / Rhode Island Fencing Academy And Club,25,76,24.8%,19,61,23.8%,6,15,28.6%
"
                    James Park",Phoenix Fencing Academy,29,34,46.0%,25,25,50.0%,4,9,30.8%
"
                    Lev Ermakov",Fencing Academy Of Denver / Nellya Fencers,406,178,69.5%,291,117,71.3%,115,61,65.3%
"
                    Kenneth Huang",Fencing Center Of Chicago,384,198,66.0%,268,133,66.8%,116,65,64.1%
"
                    Kevin Le",Clemson University Fencing Club / Foothills Fencing Academy,144,163,46.9%,113,122,48.1%,31,41,43.1%
"
                    John Ziegler",Windy City Fencing-Chicago,256,219,53.9%,190,157,54.8%,66,62,51.6%
"
                    Sophia Mann",Cardinal Fencing Club / The Fencing Center,526,429,55.1%,401,309,56.5%,125,120,51.0%
"
                    Noah Rudnet",Long Island Fencers Club / Vassar College Fencing Club NCAA,15,61,19.7%,13,50,20.6%,2,11,15.4%
"
                    Connor Liang",Laguna Fencing Center / Spartak,378,144,72.4%,266,89,74.9%,112,55,67.1%
"
                    Whitman Craig",Northwest Fencing Center,65,56,53.7%,48,41,53.9%,17,15,53.1%
"
                    Lauren Dunseath",Forge Fencing Teams,84,40,67.7%,62,25,71.3%,22,15,59.5%
"
                    Christian Dudnick",Fencing Academy Of Denver,378,363,51.0%,288,275,51.2%,90,88,50.6%
"
                    Vitali Nazlymov",Nazlymov Fencing Foundation,23,9,71.9%,16,6,72.7%,7,3,70.0%
"
                    YiXi Wang",Star Fencing Academy,53,17,75.7%,35,9,79.5%,18,8,69.2%
"
                    Leon Fu",Team Touche Fencing Center,502,334,60.0%,376,231,61.9%,126,103,55.0%
"
                    Noah Zucker",Cobra Fencing Club LLC,216,84,72.0%,140,57,71.1%,76,27,73.8%
"
                    Sean Guo",5T Fencers Club,342,299,53.4%,258,220,54.0%,84,79,51.5%
"
                    Richard Lin",Tim Morehouse Fencing Club (Port Chester),417,202,67.4%,296,129,69.6%,121,73,62.4%
"
                    Ashley Lin",Maximum Fencing Club,343,429,44.4%,263,333,44.1%,80,96,45.5%
"
                    Isaiah Kim",Golubitsky Fencing Center,153,204,42.9%,129,157,45.1%,24,47,33.8%
"
                    Francisco Palacios",Kaizen Academy LLC,52,48,52.0%,41,34,54.7%,11,14,44.0%
"
                    Kingsley Panigrahi",Southern California Fencing Academy (SOCALFA),102,186,35.4%,78,151,34.1%,24,35,40.7%
"
                    John Wildman",Kansas City Fencing Center,16,8,66.7%,12,5,70.6%,4,3,57.1%
"
                    Mia Santana",Mission Fencing Center / Long Island Fencers Club,99,91,52.1%,82,70,53.9%,17,21,44.7%
"
                    Rita Comes",Cardinal Fencing Club,64,97,39.8%,54,74,42.2%,10,23,30.3%
"
                    Jake Thayer",University of Incarnate Word Fencing NCAA / Olympian Fencing Club,304,99,75.4%,206,62,76.9%,98,37,72.6%
"
                    Cora Powledge",Rhode Island Fencing Academy And Club,77,134,36.5%,58,106,35.4%,19,28,40.4%
"
                    Connor Arata",RedStar Fencing Club Chicago / Crimson Blades Fencing Academy,40,46,46.5%,29,35,45.3%,11,11,50.0%
"
                    Anton Badushov",Bergen Fencing Club / Bergen Fencing Club,143,139,50.7%,115,103,52.8%,28,36,43.8%
"
                    Leonard Yan",PDX Fencing,83,159,34.3%,76,125,37.8%,7,34,17.1%
"
                    Ethan Bosita",Globus Fencing Academy,25,65,27.8%,21,53,28.4%,4,12,25.0%
"
                    Joshua Siyanko",Rockland Fencers Club,112,81,58.0%,84,57,59.6%,28,24,53.8%
"
                    Jackson McMillan",Marx Fencing Academy,49,77,38.9%,38,58,39.6%,11,19,36.7%
"
                    Jonah Nourafchan",Beverly Hills Fencers' Club,19,24,44.2%,14,18,43.8%,5,6,45.5%
"
                    YING CHU LI",Laguna Fencing Center,30,35,46.2%,24,26,48.0%,6,9,40.0%
"
                    Gracyn Githens",University of Incarnate Word Fencing NCAA / Olympian Fencing Club,252,203,55.4%,194,148,56.7%,58,55,51.3%
"
                    Alexander Huang",Manhattan Fencing Center / Advance Fencing And Fitness Academy,373,286,56.6%,290,203,58.8%,83,83,50.0%
"
                    Emmett Rollo",Rhode Island Fencing Academy And Club,360,416,46.4%,277,314,46.9%,83,102,44.9%
"
                    Ethan LaHaug",Boise Fencing Club,39,64,37.9%,31,51,37.8%,8,13,38.1%
