NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Logan Torres",University of Maryland Terrapin Fencing,-,-,-,-,-,-,-,-,-
"
                    Erika Castaneda",Northwestern University NCAA / Rain City Fencing Center,941,358,72.4%,656,222,74.7%,285,136,67.7%
"
                    Bora Akyamac",Manchen Academy Of Fencing / Medeo Fencing Club,446,260,63.2%,322,176,64.7%,124,84,59.6%
"
                    Kathleen Hermes",Fencers School Of Connecticut,139,146,48.8%,112,107,51.1%,27,39,40.9%
"
                    Kei Matsuo",Spartak / Cabrillo Academy Of The Sword LLC,18,7,72.0%,14,4,77.8%,4,3,57.1%
"
                    Raul Perojo",Team Touche Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Annika Beatrice Santos",New York University NCAA / Grand Rapids Fencing Academy,126,175,41.9%,107,137,43.9%,19,38,33.3%
"
                    Bridget Marturano",Fencing Academy Of Denver,350,243,59.0%,264,174,60.3%,86,69,55.5%
"
                    Samuel Karidis-Schneider",Gold Blade Fencing Center,36,64,36.0%,30,51,37.0%,6,13,31.6%
"
                    Andrew Tevebaugh",Ludus Fencing Studio,78,130,37.5%,67,107,38.5%,11,23,32.4%
"
                    Ethan Doell","Fencing Sports Academy, Inc.",634,268,70.3%,437,176,71.3%,197,92,68.2%
"
                    Grace Seal",Valkyrie Fencing Club,290,269,51.9%,229,208,52.4%,61,61,50.0%
"
                    Molly Kettelle",University Of North Carolina/Chapel Hill NCAA / Massialas Foundation (M Team),159,173,47.9%,120,133,47.4%,39,40,49.4%
"
                    Isabella Zielinski",Midwest Fencing Club / Boston College NCAA,262,226,53.7%,201,178,53.0%,61,48,56.0%
"
                    William Gwinn",The Phoenix Center,16,72,18.2%,13,60,17.8%,3,12,20.0%
"
                    Gianna Macedon","Fencing Sports Academy, Inc.",107,246,30.3%,85,199,29.9%,22,47,31.9%
"
                    Henry Hendershot",Columbus Fencing And Fitness LLC,39,35,52.7%,29,28,50.9%,10,7,58.8%
"
                    Mohsen Ahmed",Rogue Fencing Academy / The Phoenix Center,136,138,49.6%,109,101,51.9%,27,37,42.2%
"
                    Gavin Gong",Sigma Fencing Academy,121,211,36.4%,93,168,35.6%,28,43,39.4%
"
                    Chris Matt",Capital Fencing Academy,219,56,79.6%,149,28,84.2%,70,28,71.4%
"
                    Yitzchok Frankel",LA International Fencing / Tim Morehouse Fencing Club,20,22,47.6%,16,16,50.0%,4,6,40.0%
"
                    Erica Enrile",Maximum Fencing Club / Maximum Fencing Club,290,429,40.3%,229,335,40.6%,61,94,39.4%
"
                    Joshua Martinez",Modern Duelists Fencing Academy,181,227,44.4%,151,172,46.7%,30,55,35.3%
"
                    MATTHEW MEJIA",Space City Fencing Academy,729,438,62.5%,518,310,62.6%,211,128,62.2%
"
                    Reilly Cullen",University Of Florida Fencing Club / Invictus Fencing,31,87,26.3%,24,74,24.5%,7,13,35.0%
"
                    Rick Davis",Vermont Fencing Alliance / Salle Auriol Seattle,19,22,46.3%,15,16,48.4%,4,6,40.0%
"
                    Alden Beals",Rhode Island Fencing Academy And Club,171,175,49.4%,122,134,47.7%,49,41,54.4%
"
                    Claire Chi",Capital Fencing Academy,170,223,43.3%,142,169,45.7%,28,54,34.1%
"
                    Johannes Klein",Rain City Fencing Center,298,469,38.9%,234,359,39.5%,64,110,36.8%
"
                    Trey Arico",Freehold Fencing Academy,135,116,53.8%,100,83,54.6%,35,33,51.5%
"
                    David Cordie",Madison Fencing Academy / Caliburn Fencing Club,30,19,61.2%,23,14,62.2%,7,5,58.3%
"
                    Josh Kessler",Dynamo Fencing Center Inc.,83,166,33.3%,70,131,34.8%,13,35,27.1%
"
                    Anthony Alvarez",Carlisle Fencing Club,16,26,38.1%,14,20,41.2%,2,6,25.0%
"
                    Joseph Nowak","Fencing Illini, University of Illinois / The Point Fencing Club & School",110,107,50.7%,80,82,49.4%,30,25,54.5%
"
                    Jake Seaton",University Of Tennessee Knoxville Fencing Club,20,38,34.5%,16,30,34.8%,4,8,33.3%
"
                    SHUNYU DU",Northwest Fencing Center,258,266,49.2%,195,206,48.6%,63,60,51.2%
"
                    Kylie Tan",Nellya Fencers,79,101,43.9%,59,78,43.1%,20,23,46.5%
"
                    Ciaran May",Vermont Fencing Alliance,-,-,-,-,-,-,-,-,-
"
                    Nicholas Park",Medeo Fencing Club / Arena Fencing Academy LLC,460,401,53.4%,364,293,55.4%,96,108,47.1%
"
                    George Dell",RedStar Fencing Club Chicago,16,21,43.2%,13,16,44.8%,3,5,37.5%
"
                    Karmen Zimmerman",Nashville Elite Fencing Club,49,55,47.1%,39,41,48.8%,10,14,41.7%
"
                    Jet Dressel",OnTarget Fencing Club,173,346,33.3%,138,281,32.9%,35,65,35.0%
"
                    Sebastian Garcia",Gutkovskiy Fencing Academy,357,136,72.4%,241,84,74.2%,116,52,69.0%
"
                    Tesla Wells",Marx Fencing Academy,56,47,54.4%,47,35,57.3%,9,12,42.9%
"
                    Alexandra Feland",Academy Of Fencing Masters (AFM),183,141,56.5%,134,101,57.0%,49,40,55.1%
"
                    Cooper Schumacher",Fencers Club Inc.,136,61,69.0%,97,39,71.3%,39,22,63.9%
"
                    Olivia Dai",Bergen Fencing Club,341,423,44.6%,258,325,44.3%,83,98,45.9%
"
                    Charlie Stevens",Socorro High School Bulldog Fencing Team,-,-,-,-,-,-,-,-,-
"
                    Christopher Keefe",Tri-Weapon Fencing Club / Salle Palasz,16,8,66.7%,13,5,72.2%,3,3,50.0%
"
                    Zachary Findlay",Columbus Fencing And Fitness LLC,112,185,37.7%,95,143,39.9%,17,42,28.8%
"
                    Natalie Brooke Gebala",University Of California San Diego NCAA,577,229,71.6%,405,142,74.0%,172,87,66.4%
"
                    Jaslene Lim",PDX Fencing,365,190,65.8%,265,131,66.9%,100,59,62.9%
"
                    Anastasia Chatikhine",Medeo Fencing Club,186,167,52.7%,144,121,54.3%,42,46,47.7%
"
                    Nathan Lu",OnTarget Fencing Club,158,171,48.0%,127,125,50.4%,31,46,40.3%
"
                    Mikayla Jassem",University Of Colorado Boulder Club,48,70,40.7%,40,56,41.7%,8,14,36.4%
"
                    James Ren",Globus Fencing Academy,367,226,61.9%,273,156,63.6%,94,70,57.3%
"
                    Trinity Wang",Rockland Fencers Club / Wanglei International Fencing Club,106,55,65.8%,77,37,67.5%,29,18,61.7%
"
                    Alvaro Achury",Alliance Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Connor Jobe",On Target Fencing Team / Cyranos Place,101,120,45.7%,77,91,45.8%,24,29,45.3%
"
                    Scott Cunningham",Halberstadt Fencers' Club,9,-,100.0%,5,-,100.0%,4,-,100.0%
"
                    Toby Tolley",The Phoenix Center / Rogue Fencing Academy,31,16,66.0%,21,10,67.7%,10,6,62.5%
"
                    Michael Still",Anchorage Fencing Club,11,5,68.8%,8,3,72.7%,3,2,60.0%
"
                    Benjamin Mao",Medeo Fencing Club,505,275,64.7%,357,183,66.1%,148,92,61.7%
"
                    Cade McCallen",Denison University Fencing NCAA,14,23,37.8%,12,18,40.0%,2,5,28.6%
"
                    Steliana strugar",Northwest Fencing Center,375,244,60.6%,278,174,61.5%,97,70,58.1%
"
                    Kristin Foellmer",DC Fencers Club,147,26,85.0%,92,14,86.8%,55,12,82.1%
"
                    John Beach",Ataba Fencing Club,122,60,67.0%,81,40,66.9%,41,20,67.2%
"
                    Xianchen Bu",Metro Tacoma Fencing Club,46,15,75.4%,30,11,73.2%,16,4,80.0%
"
                    Hari Prakash",Academy Of Fencing Masters (AFM),236,492,32.4%,203,401,33.6%,33,91,26.6%
"
                    Jeremy Cho",Washington University. St. Louis,85,56,60.3%,63,41,60.6%,22,15,59.5%
"
                    Ken Stone",Twin Cities Fencing Club,9,80,10.1%,9,68,11.7%,-,12,0.0%
"
                    Alexander Szulzycki",RPI College Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Nicholas Jackson",Vivo Fencing Club,60,126,32.3%,48,99,32.7%,12,27,30.8%
"
                    Michael Wu",Massialas Foundation (M Team),70,51,57.9%,51,37,58.0%,19,14,57.6%
"
                    Kailyn Choi",Elite International Fencers Club,284,381,42.7%,230,292,44.1%,54,89,37.8%
"
                    Jaimin Vishawadia",Brooklyn Bridge Fencing Club,115,220,34.3%,90,180,33.3%,25,40,38.5%
"
                    Joshua Lim",RedStar Fencing Club Chicago,112,52,68.3%,73,37,66.4%,39,15,72.2%
"
                    Christopher Hu",Bergen Fencing Club,544,276,66.3%,388,185,67.7%,156,91,63.2%
"
                    Matthew Denman",American Fencing Academy Of Dayton,74,83,47.1%,61,61,50.0%,13,22,37.1%
"
                    IRENE SEO",Gutkovskiy Fencing Academy,687,377,64.6%,495,252,66.3%,192,125,60.6%
"
                    Lance Jeremiah Lim",Bluegrass Fencers' Club / Queen City Fencers Club LLC,123,272,31.1%,104,218,32.3%,19,54,26.0%
"
                    Keira Daley",Academy Of Fencing Masters (AFM),148,236,38.5%,120,187,39.1%,28,49,36.4%
"
                    Gary Whitley",Huntsville Fencing Club,28,45,38.4%,23,34,40.4%,5,11,31.2%
"
                    Francesco Savoretti",Ocean State Fencing Club,410,229,64.2%,299,148,66.9%,111,81,57.8%
"
                    Daphne Bergel",Gutkovskiy Fencing Academy,189,303,38.4%,151,236,39.0%,38,67,36.2%
"
                    Markus Lang",Apex Fencing Academy,82,31,72.6%,57,19,75.0%,25,12,67.6%
"
                    Bowen Chen",Windy City Fencing-Chicago,185,262,41.4%,146,205,41.6%,39,57,40.6%
"
                    Matthew Freden",University Of Colorado Boulder Club,26,37,41.3%,20,29,40.8%,6,8,42.9%
"
                    Jayden Chen",Atlantic Fencing Academy,21,25,45.7%,15,20,42.9%,6,5,54.5%
"
                    Andrei Nazlymov",Nazlymov Fencing Foundation,477,267,64.1%,349,184,65.5%,128,83,60.7%
"
                    Alexandra Krivosheev",Nellya Fencers,467,214,68.6%,322,146,68.8%,145,68,68.1%
"
                    Alexander Kaeding",Twin Cities Fencing Club,8,8,50.0%,6,6,50.0%,2,2,50.0%
"
                    Tonatiuh Pilli",Still Point Fencing,6,2,75.0%,4,1,80.0%,2,1,66.7%
"
                    Benjamin Slotter",Southwest Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Drithi Pinnamaneni",Penta Olympic Fencing Club,365,336,52.1%,284,251,53.1%,81,85,48.8%
"
                    Jackson Miller",Indianapolis Fencing Club,30,45,40.0%,22,34,39.3%,8,11,42.1%
"
                    Barry Leonardini",East Bay Fencers Gym,52,178,22.6%,43,144,23.0%,9,34,20.9%
"
                    Jeffrey Zhai",East Coast Fencing Club,737,415,64.0%,549,279,66.3%,188,136,58.0%
"
                    Dustin Reagan",City of Thunder FC,40,3,93.0%,27,-,100.0%,13,3,81.2%
"
                    Lefu Chen",North Shore Fencers Club / Allegro Fencing Center,477,188,71.7%,318,120,72.6%,159,68,70.0%
"
                    Liam Reeves",Renaissance Fencing Club,545,371,59.5%,407,258,61.2%,138,113,55.0%
"
                    Sherif Fayez",Elite Fencing Academy (GA),59,29,67.0%,39,24,61.9%,20,5,80.0%
"
                    Philippe Bennett",Fencers Club Inc.,93,29,76.2%,66,15,81.5%,27,14,65.9%
"
                    Nathan Cardenas",Salle des Lutins,75,48,61.0%,51,32,61.4%,24,16,60.0%
"
                    Dean Myers",Golden State Fencing Academy,322,285,53.0%,252,206,55.0%,70,79,47.0%
"
                    Dillon Henry",Sebastiani Fencing Academy,77,37,67.5%,57,24,70.4%,20,13,60.6%
"
                    Alex Storer",Naples Fencing Academy,143,152,48.5%,118,111,51.5%,25,41,37.9%
"
                    Salvatore Centanni",Sheridan Fencing Academy,41,28,59.4%,33,19,63.5%,8,9,47.1%
"
                    EDWARD XIAO",Silicon Valley Fencing Center / LA International Fencing,489,417,54.0%,377,307,55.1%,112,110,50.5%
"
                    Alisha Gomez",Wildcat Fencing Club / Bergen Fencing Club,-,-,-,-,-,-,-,-,-
"
                    ROMAN SOBESHKEVYCH",Fencing Center Of Chicago,248,141,63.8%,179,96,65.1%,69,45,60.5%
"
                    Mitchell Dorfman",Morris Fencing Club,98,95,50.8%,73,68,51.8%,25,27,48.1%
"
                    Alexander Herz",Peoria Fencing Academy,27,39,40.9%,22,30,42.3%,5,9,35.7%
"
                    Imogen Lowther",Cyranos Place,42,87,32.6%,34,70,32.7%,8,17,32.0%
"
                    Ron Hendricks",Wasatch Fencing,22,23,48.9%,13,17,43.3%,9,6,60.0%
"
                    Ellen Wang",Moe Fencing Club LLC,525,194,73.0%,372,113,76.7%,153,81,65.4%
"
                    Jillian Kosanovich",Denver Fencing Center,38,10,79.2%,27,7,79.4%,11,3,78.6%
"
                    Julie D'Anna-Pagès",Spartak,9,2,81.8%,6,2,75.0%,3,-,100.0%
"
                    Sam Burbey",Four Corners Fencing Club,24,25,49.0%,19,18,51.4%,5,7,41.7%
"
                    Michael Mehall",Boise Fencing Club,101,51,66.4%,73,33,68.9%,28,18,60.9%
"
                    Benjamin Okun",Rockland Fencers Club,46,86,34.8%,37,68,35.2%,9,18,33.3%
"
                    Lucas Alfaiate",Drew University NCAA / Rogue Fencing Academy,174,108,61.7%,133,72,64.9%,41,36,53.2%
"
                    John Salsman IV",Bluegrass Fencers' Club,11,3,78.6%,8,1,88.9%,3,2,60.0%
"
                    James Kaull",New York Athletic Club,121,49,71.2%,86,31,73.5%,35,18,66.0%
"
                    Christine Griffith",Cleveland State Univ. NCAA,3,2,60.0%,3,1,75.0%,-,1,0.0%
"
                    Madison Zeiss",Elite Fencing Club,70,22,76.1%,48,12,80.0%,22,10,68.8%
"
                    Nicholas Kypraios",Orlando Fencing Sports Center LLC,81,39,67.5%,58,26,69.0%,23,13,63.9%
"
                    Oleg Stetsiv",Bergen Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Daniel Vunck",Richmond Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Sanil Sharma",University Of California San Diego NCAA,460,220,67.6%,323,151,68.1%,137,69,66.5%
"
                    Sage Rasmussen",North Bay Fencing Academy / West Berkeley Fencing Club,605,369,62.1%,439,249,63.8%,166,120,58.0%
"
                    Eliana Parks",Metro Tacoma Fencing Club,93,180,34.1%,81,150,35.1%,12,30,28.6%
"
                    William Pegues","Fencing Sports Academy, Inc. / Savage Fencing Club",17,32,34.7%,12,24,33.3%,5,8,38.5%
"
                    Ben Palladino",Rogue Fencing Academy / The Phoenix Center,93,88,51.4%,74,64,53.6%,19,24,44.2%
"
                    Mya B Spears",New Jersey Fencing Alliance / New Jersey Fencing Alliance,305,186,62.1%,216,128,62.8%,89,58,60.5%
"
                    Dick Weber",Denver Fencing Center,30,96,23.8%,26,77,25.2%,4,19,17.4%
"
                    Atilio Tass",Puget Sound Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Henry Bishop",Portland Fencing Center,40,86,31.7%,33,72,31.4%,7,14,33.3%
"
                    Katerina Borotko",Wanglei International Fencing Club,424,163,72.2%,290,106,73.2%,134,57,70.2%
"
                    Damon Scaggs",Lincoln Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Eric Guth",Cleveland Fencing Academy East LLC,-,-,-,-,-,-,-,-,-
"
                    Levi Hoogendoorn",Northwestern University NCAA,140,123,53.2%,104,93,52.8%,36,30,54.5%
"
                    Michael Zipper","Manhattan Fencing Center / Stamford Fencing Center, LLC",105,88,54.4%,83,62,57.2%,22,26,45.8%
"
                    Sylvia Urdaneta Largura",RedStar Fencing Club Chicago,80,77,51.0%,60,55,52.2%,20,22,47.6%
"
                    Brandon Chu",North Shore Fencers Club,110,119,48.0%,85,89,48.9%,25,30,45.5%
"
                    Devin Walke",Capital Fencing Academy,81,147,35.5%,63,123,33.9%,18,24,42.9%
"
                    Zena Park",Auburn Fencing Club / Auburn Fencing Club,373,196,65.6%,267,130,67.3%,106,66,61.6%
"
                    Benjamin Kelly",Northeastern University Club Fencing,49,35,58.3%,34,25,57.6%,15,10,60.0%
"
                    Ethan Cannaert",Davis Fencing Academy / University of California Davis,21,11,65.6%,15,7,68.2%,6,4,60.0%
"
                    Hwaeun Lee",Boston Fencing Club,9,19,32.1%,7,15,31.8%,2,4,33.3%
"
                    Maximus Wong",North Shore Fencers Club,55,46,54.5%,40,33,54.8%,15,13,53.6%
"
                    Darren Barreiro",Atlantic Fencing Academy,271,148,64.7%,199,100,66.6%,72,48,60.0%
"
                    Ryan park",Elite International Fencers Club,258,229,53.0%,194,168,53.6%,64,61,51.2%
"
                    Eddie Ling",Silicon Valley Fencing Center,671,294,69.5%,469,182,72.0%,202,112,64.3%
"
                    Patrick Li",Denver Fencing Center,468,288,61.9%,346,196,63.8%,122,92,57.0%
"
                    Declan Beauchamp",Fencing Academy Of Philadelphia North / Fencing Academy Of Philadelphia,41,99,29.3%,31,81,27.7%,10,18,35.7%
"
                    Ryan Murphy",Nova Fencing Club,25,7,78.1%,18,4,81.8%,7,3,70.0%
"
                    Brian Harper",Florida Fencing Academy,4,5,44.4%,4,4,50.0%,-,1,0.0%
"
                    Alexandra Dickinson",Indianapolis Fencing Club / Orion Fencing,41,26,61.2%,32,18,64.0%,9,8,52.9%
"
                    Corey Zhao",Olympia Fencing Center,443,223,66.5%,316,146,68.4%,127,77,62.3%
"
                    Jose-Arnel Ortega",Masters Fencing Club,150,160,48.4%,111,125,47.0%,39,35,52.7%
"
                    Abdollah Serajian",ASER International Fencing Academy,17,2,89.5%,10,-,100.0%,7,2,77.8%
"
                    Charlie Murdoch Roy",Seacoast Fencing Club,24,67,26.4%,19,58,24.7%,5,9,35.7%
"
                    Niki Agrawal",Silicon Valley Fencing Center,281,560,33.4%,236,449,34.5%,45,111,28.8%
"
                    Thomas Gana",Atlantic Fencing Academy,53,48,52.5%,40,37,51.9%,13,11,54.2%
"
                    Sahil Subramaniam",Platinum Fencing Academy,37,89,29.4%,33,72,31.4%,4,17,19.0%
"
                    William Calkins",Rochester Fencing Club,40,40,50.0%,32,30,51.6%,8,10,44.4%
"
                    Timothy Hall",DC Fencers Club,3,4,42.9%,3,3,50.0%,-,1,0.0%
"
                    Darby Lytle",Lincoln Fencing Club,40,41,49.4%,33,29,53.2%,7,12,36.8%
"
                    Dirk Goldgar",Bucks County Academy Of Fencing,2,4,33.3%,2,3,40.0%,-,1,0.0%
"
                    James Harwood",Orion Fencing,87,59,59.6%,65,41,61.3%,22,18,55.0%
"
                    Muzaffer Oztek",D'Alerta Fencing Academy,45,46,49.5%,35,33,51.5%,10,13,43.5%
"
                    Kaitlyn Hulseburg",University Of Notre Dame NCAA,224,116,65.9%,173,76,69.5%,51,40,56.0%
"
                    Noah Shafritz",Olympic Fencers Club / Kennesaw State University,103,88,53.9%,81,65,55.5%,22,23,48.9%
"
                    Samuel Rightler",The Ohio State University NCAA,259,148,63.6%,181,106,63.1%,78,42,65.0%
"
                    Alexander Harra",Tim Morehouse Fencing Club (Port Chester),77,87,47.0%,58,66,46.8%,19,21,47.5%
"
                    Jansen Hu",Olympia Fencing Center,27,67,28.7%,26,53,32.9%,1,14,6.7%
"
                    Jason Kwong",The Phoenix Center,93,106,46.7%,65,82,44.2%,28,24,53.8%
"
                    Carina Festa",Bergen Fencing Club,572,381,60.0%,400,270,59.7%,172,111,60.8%
"
                    Amber White",Manhattan Fencing Center,33,25,56.9%,30,17,63.8%,3,8,27.3%
"
                    Eunchan Kang",Vivo Fencing Club,93,81,53.4%,65,58,52.8%,28,23,54.9%
"
                    Iliya Mechkov",Cavalier Fencing Club,149,55,73.0%,105,36,74.5%,44,19,69.8%
"
                    Joy Li",Silicon Valley Fencing Center,431,328,56.8%,315,234,57.4%,116,94,55.2%
"
                    Rayaana Grulich",Oregon Fencing Alliance,260,267,49.3%,202,197,50.6%,58,70,45.3%
"
                    Rebecca Zhang",Princeton Interscholastic Fencing,22,38,36.7%,14,30,31.8%,8,8,50.0%
"
                    Lukas Tsao",Renaissance Fencing Club,587,419,58.3%,443,296,59.9%,144,123,53.9%
"
                    Woody Guo",True Focus Sports Academy,249,279,47.2%,194,211,47.9%,55,68,44.7%
"
                    Lucas Bolton",Corsair Fencing Club,74,25,74.7%,56,16,77.8%,18,9,66.7%
"
                    Nickolys Hinton",Shippensburg University Fencing Club / West Shore Fencers Club,40,37,51.9%,30,30,50.0%,10,7,58.8%
"
                    Leslie Marx ",Marx Fencing Academy,8,5,61.5%,6,3,66.7%,2,2,50.0%
"
                    Joseph Griffith","Fencing Illini, University of Illinois",86,43,66.7%,60,28,68.2%,26,15,63.4%
"
                    Krish Mehta",Bergen Fencing Club,110,115,48.9%,91,83,52.3%,19,32,37.3%
"
                    Andrew Zeng",Arena Fencing Academy LLC,339,299,53.1%,247,217,53.2%,92,82,52.9%
"
                    Darren Watt",Academy Of Fencing Masters (AFM),293,282,51.0%,228,209,52.2%,65,73,47.1%
"
                    Ethan Insler",Rhode Island Fencing Academy And Club,536,287,65.1%,388,195,66.6%,148,92,61.7%
"
                    Grant Honaker",Gold Blade Fencing Center,6,15,28.6%,3,12,20.0%,3,3,50.0%
"
                    ziqian gong",International Fencing Club,74,97,43.3%,59,74,44.4%,15,23,39.5%
"
                    Russell Mette",Buccaneer Blades Fencing / Purdue Fencing Club-Purdue Univ.,147,91,61.8%,108,70,60.7%,39,21,65.0%
"
                    Nora Nickolov",Golden State Fencing Academy,89,267,25.0%,74,217,25.4%,15,50,23.1%
"
                    Alexander Tang",OnTarget Fencing Club,803,443,64.4%,568,301,65.4%,235,142,62.3%
"
                    James McDermott",Ocean State Fencing Club,14,22,38.9%,11,17,39.3%,3,5,37.5%
"
                    gabriela colina uzcátegui",Woodlands International Fencing Club,75,95,44.1%,64,71,47.4%,11,24,31.4%
"
                    Michael Liguori",Infinity Fencing Alliance,42,97,30.2%,33,81,28.9%,9,16,36.0%
"
                    Jason Dazey",Bloomington Fencing Club,15,15,50.0%,11,12,47.8%,4,3,57.1%
"
                    Saininad Naik",University of Alabama in Huntsville Fencing Club,54,24,69.2%,41,14,74.5%,13,10,56.5%
"
                    Richard Valvero",Parkway Fencing Club,1,6,14.3%,1,5,16.7%,-,1,0.0%
"
                    Christopher Koerber",The Fencing Center,78,103,43.1%,63,77,45.0%,15,26,36.6%
"
                    Rylan Kuo",Las Positas Fencing Center,117,159,42.4%,94,125,42.9%,23,34,40.4%
"
                    Gabriel Babayev⭐","Stamford Fencing Center, LLC / Stamford Fencing Center, LLC",618,217,74.0%,424,129,76.7%,194,88,68.8%
"
                    Noelle Kohlberger","Stamford Fencing Center, LLC",86,37,69.9%,56,25,69.1%,30,12,71.4%
"
                    Mark Nixon",LA International Fencing,60,37,61.9%,47,24,66.2%,13,13,50.0%
"
                    Ryan Odea",Cape Fear Fencing Association,75,183,29.1%,62,143,30.2%,13,40,24.5%
"
                    Julieanne Qi",Guanyi Fencing Academy,535,268,66.6%,369,183,66.8%,166,85,66.1%
"
                    Fen Tamulonis",DC Fencers Club / Wallingford-Swarthmore Panthers,134,106,55.8%,99,77,56.2%,35,29,54.7%
"
                    Sarah Merza",The Ohio State University NCAA / Bergen Fencing Club,32,17,65.3%,23,11,67.6%,9,6,60.0%
"
                    Andrew Cotlar",Bucks County Academy Of Fencing - West,73,94,43.7%,58,71,45.0%,15,23,39.5%
"
                    Evan Jackson",College of William & Mary Fencing Club,46,41,52.9%,29,30,49.2%,17,11,60.7%
"
                    Christopher Karll",Barrington Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Ian Sim",Academy Of Fencing Masters (AFM),124,211,37.0%,102,165,38.2%,22,46,32.4%
"
                    Randal Hicks",City of Thunder FC,14,2,87.5%,10,1,90.9%,4,1,80.0%
"
                    James Park",Phoenix Fencing Academy,29,34,46.0%,25,25,50.0%,4,9,30.8%
"
                    Madelynn Van Vacter",Alamo Fencing Academy,233,226,50.8%,171,166,50.7%,62,60,50.8%
"
                    Mark Srere",Capital Fencing Academy,66,66,50.0%,52,48,52.0%,14,18,43.8%
"
                    Christian Sen",Bergen Fencing Club,94,150,38.5%,78,115,40.4%,16,35,31.4%
"
                    Mattia Marsi",Davis Fencing Academy of Miami,33,71,31.7%,27,54,33.3%,6,17,26.1%
"
                    Derek Wilkinson",On Target Fencing Team,131,87,60.1%,98,59,62.4%,33,28,54.1%
"
                    Mohammad Qashou",Vermont Fencing Alliance,-,-,-,-,-,-,-,-,-
"
                    Anika Breker",Rhode Island Fencing Academy And Club,333,166,66.7%,240,106,69.4%,93,60,60.8%
"
                    Katherine Donderis",Stoccata Fencing Academy & Club,143,204,41.2%,120,159,43.0%,23,45,33.8%
"
                    Thomas Knight",University Of Tennessee Knoxville Fencing Club,16,10,61.5%,12,6,66.7%,4,4,50.0%
"
                    Minjun Kim",George Mason University Fencing Club,61,75,44.9%,47,59,44.3%,14,16,46.7%
"
                    Caleb Su",DC Fencers Club,646,240,72.9%,438,146,75.0%,208,94,68.9%
"
                    Aiden Zmuda",Grand Rapids Fencing Academy,177,360,33.0%,139,284,32.9%,38,76,33.3%
"
                    Benjamin Xi",Rogue Fencing Academy / The Phoenix Center,78,41,65.5%,58,26,69.0%,20,15,57.1%
"
                    Sophie Zhuang",Columbus Fencing And Fitness LLC,84,163,34.0%,62,131,32.1%,22,32,40.7%
"
                    Li Wang",Metro Tacoma Fencing Club,173,179,49.1%,127,130,49.4%,46,49,48.4%
"
                    Michael Lindon",Texas Fencing Academy / NKY Fencing Academy (NKFA),9,16,36.0%,7,14,33.3%,2,2,50.0%
"
                    Anthony Lam",Future Stars Fencing & Sports Center / Future Stars Fencing & Sports Center,10,54,15.6%,7,45,13.5%,3,9,25.0%
"
                    Irv Schwary",New Orleans Fencers Club / Mobetes,51,139,26.8%,46,110,29.5%,5,29,14.7%
"
                    Lara Szpak",Illinois Fencers Club,60,42,58.8%,43,33,56.6%,17,9,65.4%
"
                    Johan Mora",North Dallas Fencing Club,28,16,63.6%,17,12,58.6%,11,4,73.3%
"
                    Sky Park",LA International Fencing,381,368,50.9%,294,277,51.5%,87,91,48.9%
"
                    Quinley Fischbein",Maximum Fencing Club,209,185,53.0%,169,131,56.3%,40,54,42.6%
"
                    Sophie Choi",Piedmont Fencing Team,142,260,35.3%,117,205,36.3%,25,55,31.2%
"
                    Nicolas Minott",Valkyrie Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Gloria Ruoyan Wang",Culver Military Academy / LA Fencing Academy of Pomona,141,71,66.5%,95,54,63.8%,46,17,73.0%
"
                    Paolo Howard",Alliance Fencing Academy,54,89,37.8%,45,69,39.5%,9,20,31.0%
"
                    Joanne Gerrish",Tim Morehouse Fencing Club (Connecticut) / Rogue Fencing Academy,28,62,31.1%,20,49,29.0%,8,13,38.1%
"
                    Sophia Ho",Long Island Fencing Center,77,174,30.7%,58,139,29.4%,19,35,35.2%
"
                    Andrew Lee",Manhattan Fencing Center / Manhattan Fencing of Englewood,362,320,53.1%,278,231,54.6%,84,89,48.6%
"
                    Yik Chun Wu",Nellya Fencers,22,71,23.7%,16,57,21.9%,6,14,30.0%
"
                    Dhananjay Bhaskar",Delaware Valley Fencers Club-PA,14,23,37.8%,11,18,37.9%,3,5,37.5%
"
                    Raymond Watson",Richmond Fencing Club,48,30,61.5%,36,20,64.3%,12,10,54.5%
"
                    Timothy Wakeham",Youth Enrichment League Fencing Club,64,109,37.0%,47,91,34.1%,17,18,48.6%
"
                    Andrew Kim",Rain City Fencing Center,734,365,66.8%,524,245,68.1%,210,120,63.6%
"
                    Daniel Thompson",Foothills Fencing Academy,58,36,61.7%,44,25,63.8%,14,11,56.0%
"
                    India Benzan",Cavalier Fencing Club,222,231,49.0%,176,169,51.0%,46,62,42.6%
"
                    Trisha Nath",Bergen Fencing Club,586,331,63.9%,417,225,65.0%,169,106,61.5%
